plant_id,genotype_name,first_flowers_DAS,peak_flowers_DAS,flowering_days_to_peak,total_flowering_days,flowering_finished,pixel.day_peak,pixel.days_to_peak,total_pixel.days,mean_pixel.days_to_peak
BR024-01111,PH01,48,63,16,25,YES,6595,41405,71610,2587.8125
BR024-01112,PH01,50,63,14,26,YES,16047,96232,163664,6873.714286
BR024-01113,PH01,46,57,12,24,YES,13454,66739,132028,5561.583333
BR024-01114,PH01,49,60,12,23,YES,13612,77097,155979.5,6424.75
BR024-01215,PH01,47,58,12,26,YES,12995,62093,140874,5174.416667
BR024-01216,PH01,46,58,13,22,YES,11967,63677,111210,4898.230769
BR024-01217,PH01,48,59,12,22,YES,11150,61172,112448,5097.666667
BR024-01218,PH01,48,58,11,22,YES,13319,62611,121441,5691.909091
BR024-02111,PH02,53,67,15,25,YES,3545,25880,41830,1725.333333
BR024-02112,PH02,49,68,20,31,YES,7430,65250,93666,3262.5
BR024-02113,PH02,48,62,15,39,NO,10340,64676,123186,4311.733333
BR024-02114,PH02,50,62,13,34,YES,9230,51510,110945,3962.307692
BR024-02215,PH02,48,67,20,25,YES,4995,45710,59890,2285.5
BR024-02216,PH02,46,58,13,27,YES,7810,42405,64945,3261.923077
BR024-02217,PH02,47,62,16,26,YES,9910,77165,119955,4822.8125
BR024-02218,PH02,49,61,13,24,YES,10040,59307,99342,4562.076923
BR024-03111,PH03,55,83,29,40,YES,7320,68777.5,95437.5,2371.637931
BR024-03112,PH03,52,83,32,44,YES,13190,119252.5,185677.5,3726.640625
BR024-03113,PH03,52,82,31,41,YES,7045,63975,93772.5,2063.709677
BR024-03114,PH03,53,80,28,41,YES,9410,97437.5,153475,3479.910714
BR024-03215,PH03,53,83,31,43,YES,17085,179482.5,228817.5,5789.758065
BR024-03216,PH03,51,76,26,40,YES,11530,94598.5,175316,3638.403846
BR024-03217,PH03,45,71,27,44,YES,12105,98384,161619,3643.851852
BR024-03218,PH03,52,81,30,44,YES,11330,118517.5,161582.5,3950.583333
BR024-06111,PH06,56,76,21,43,YES,26567,258294.5,435810,12299.7381
BR024-06112,PH06,57,76,20,41,YES,26224,254692,466859,12734.6
BR024-06113,PH06,57,76,20,48,NO,25374,275625.5,459323.5,13781.275
BR024-06114,PH06,57,77,21,39,YES,24197,226329.5,413671.5,10777.59524
BR024-06215,PH06,56,75,20,35,YES,23646,241943,360549.5,12097.15
BR024-06216,PH06,54,75,22,41,YES,21242,255797.5,392313.5,11627.15909
BR024-06217,PH06,54,76,23,44,YES,20342,270361.5,413478,11754.84783
BR024-06218,PH06,56,77,22,40,YES,23578,276935.5,414099.5,12587.97727
BR024-07111,PH07,62,72,11,31,YES,1595,8195,14537.5,745
BR024-07112,PH07,60,75,16,29,YES,6780,51458,91793,3216.125
BR024-07113,PH07,61,78,18,26,YES,8485,73815,92462.5,4100.833333
BR024-07114,PH07,61,77,17,23,YES,8535,70422.5,100705,4142.5
BR024-07215,PH07,60,66,7,23,YES,2805,10105,20235,1443.571429
BR024-07216,PH07,62,79,18,28,YES,2570,12642.5,19425,702.3611111
BR024-07217,PH07,59,67,9,26,YES,3295,17660,37027.5,1962.222222
BR024-07218,PH07,59,71,13,26,YES,5890,44040,71092.5,3387.692308
BR024-08111,PH08,63,78,16,32,YES,20955,169607.5,265857.5,10600.46875
BR024-08112,PH08,62,80,19,28,YES,40590,326809.5,445129.5,17200.5
BR024-08113,PH08,68,81,14,28,YES,15145,64600,147727.5,4614.285714
BR024-08114,PH08,65,77,13,25,YES,18975,123697.5,212902.5,9515.192308
BR024-08215,PH08,62,80,19,43,NO,26995,237390,332032.5,12494.21053
BR024-08216,PH08,61,79,19,28,YES,11380,119435,155635,6286.052632
BR024-08217,PH08,61,75,15,26,YES,25305,189485,318717.5,12632.33333
BR024-08218,PH08,64,81,18,26,YES,14865,125545,180702.5,6974.722222
BR024-09111,PH09,46,63,18,38,YES,31460,206535,406691,11474.16667
BR024-09112,PH09,53,66,14,27,YES,36641,238326,428751.5,17023.28571
BR024-09113,PH09,47,63,17,37,YES,35976,226430,474503.5,13319.41176
BR024-09114,PH09,47,63,17,34,YES,43619,261425,540596.5,15377.94118
BR024-09215,PH09,46,61,16,31,YES,38151,220425,472414.5,13776.5625
BR024-09216,PH09,47,61,15,29,YES,44926,218602,482968,14573.46667
BR024-09217,PH09,46,61,16,40,YES,37503,203832,473975,12739.5
BR024-09218,PH09,48,62,15,30,YES,32290,192036,368276,12802.4
BR024-10111,PH10,59,77,19,47,NO,35009,276160,481314.5,14534.73684
BR024-10112,PH10,57,72,16,34,YES,35441,221685,462375.5,13855.3125
BR024-10113,PH10,57,75,19,41,YES,33707,278815,480125.5,14674.47368
BR024-10114,PH10,60,76,17,45,NO,35706,235591,570181.5,13858.29412
BR024-10215,PH10,56,72,17,38,YES,30555,244740,469375,14396.47059
BR024-10216,PH10,56,67,12,32,YES,35215,146165,423557.5,12180.41667
BR024-10217,PH10,58,74,17,47,NO,37644,284510,549447,16735.88235
BR024-10218,PH10,55,74,20,33,YES,27181,291632.5,412257.5,14581.625
BR024-11111,PH11,48,61,14,58,NO,33948,224106,365702,16007.57143
BR024-11112,PH11,48,61,14,31,YES,42234,229707,440156,16407.64286
BR024-11113,PH11,47,62,16,33,YES,40733,272143,472763,17008.9375
BR024-11114,PH11,48,61,14,30,YES,37284,206754,401124.5,14768.14286
BR024-11215,PH11,48,61,14,29,YES,40785,206316,376403,14736.85714
BR024-11216,PH11,48,60,13,27,YES,40491,222640,381770,17126.15385
BR024-11217,PH11,46,57,12,31,YES,38369,169508,396795.5,14125.66667
BR024-11218,PH11,46,59,14,27,YES,38105,219354,351393.5,15668.14286
BR024-12111,PH12,46,58,13,43,YES,40548,221513,511398,17039.46154
BR024-12112,PH12,47,58,12,49,YES,31736,173068,412063,14422.33333
BR024-12113,PH12,47,59,13,43,YES,35985,206816,451138,15908.92308
BR024-12114,PH12,47,61,15,52,YES,33894,192500,447767,12833.33333
BR024-12215,PH12,47,60,14,44,YES,26399,188495,346172,13463.92857
BR024-12216,PH12,48,59,12,20,YES,32804,157409,332801,13117.41667
BR024-12217,PH12,46,57,12,37,YES,36624,159347,363165,13278.91667
BR024-12218,PH12,45,58,14,23,YES,32938,240054,397857.5,17146.71429
BR024-13111,PH13,53,68,16,34,YES,36117,220581,470012,13786.3125
BR024-13112,PH13,53,67,15,31,YES,41035,280163,544032,18677.53333
BR024-13113,PH13,54,67,14,35,YES,42710,240496,568719,17178.28571
BR024-13114,PH13,55,69,15,33,YES,55392,252682,658603.5,16845.46667
BR024-13215,PH13,54,67,14,35,YES,32172,178335,435782.5,12738.21429
BR024-13216,PH13,52,67,16,31,YES,36622,259552,462330,16222
BR024-13217,PH13,51,65,15,32,YES,44369,255972,535751.5,17064.8
BR024-13218,PH13,49,65,17,33,YES,31258,242137,494230,14243.35294
BR024-14111,PH14 ,56,68,13,50,NO,33059,131014,511376,10078
BR024-14112,PH14 ,56,72,17,40,YES,35635,254171,488183,14951.23529
BR024-14113,PH14 ,56,76,21,49,NO,29548,347125.5,538355.5,16529.78571
BR024-14114,PH14 ,58,75,18,40,YES,30990,228835,412811.5,12713.05556
BR024-14215,PH14 ,58,77,20,47,NO,25740,232475,396283,11623.75
BR024-14216,PH14 ,56,67,12,49,NO,24480,110960,371015.5,9246.666667
BR024-14217,PH14 ,57,74,18,48,NO,30585,228107.5,457309.5,12672.63889
BR024-14218,PH14 ,57,76,20,48,NO,22695,210820,363854,10541
BR024-15111,PH15,77,97,21,29,NO,9505,66612.5,103807.5,3172.02381
BR024-15112,PH15,46,62,17,34,YES,30294,216895,404307.5,12758.52941
BR024-15113,PH15,58,75,18,28,YES,17141,120457.5,172276,6692.083333
BR024-16111,PH16,66,83,18,39,NO,17115,119949,239086,6663.833333
BR024-16112,PH16,61,72,12,39,YES,21383,109065,266254.5,9088.75
BR024-16113,PH16,75,95,21,30,NO,3830,24967.5,45033,1188.928571
BR024-16114,PH16,79,95,17,26,NO,7433,55540.5,109950.5,3267.088235
BR024-16215,PH16,67,83,17,31,YES,16926,136243.5,215113.5,8014.323529
BR024-16216,PH16,74,95,22,31,NO,4608,40624.5,59476.5,1846.568182
BR024-16217,PH16,69,94,26,36,NO,3506,28798.5,46931.5,1107.634615
BR024-16218,PH16,69,84,16,35,YES,6329,41461,84468,2591.3125
BR024-17111,PH17,49,65,17,46,YES,22450,206216,496550.5,12130.35294
BR024-17112,PH17,54,67,14,37,YES,28669,183234,459797.5,13088.14286
BR024-17113,PH17,50,65,16,48,YES,27488,238738,550601,14921.125
BR024-17114,PH17,50,66,17,48,YES,29186,251610,594643.5,14800.58824
BR024-17215,PH17,50,67,18,50,YES,32311,295851,617839,16436.16667
BR024-17216,PH17,49,65,17,56,NO,25815,231457,585714,13615.11765
