"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"1","BR024-01111","R2","L1","C5",104,9,50.6,29,182,18,0.278021978,48,63,16,25,6595,41405,71610,2587.8125,46.00694444,63.63859828,91.00315983,49.00694444,11.13003773,4.906297381,7.800820629,78.57248961,75.28054136,1107,90.00699074,44.0000463,12337,26,4.84,38,46
"2","BR024-01112","R2","L2","C5",125,11,53.3,47,207,17,0.257487923,50,63,14,26,16047,96232,163664,6873.714286,48.10287037,67.98879052,108.00125,51.10296296,13.39191348,5.601257578,9.868438868,87.92668309,76.37986211,1345,67.1030787,19.00020833,14927,27,5.51,41,52
"3","BR024-01113","R2","L5","C5",124,9,48.6,36,181,18,0.268508287,46,57,12,24,13454,66739,132028,5561.583333,44.27431713,65.64811204,106.0282251,48.27421296,13.97298371,5.897120513,10.116294,85.21107868,75.29931415,1337,100.2743056,55.99998843,13570,25,5.36,38,46
"4","BR024-01114","R2","L7","C5",120,9,42.9,43,169,17,0.253846154,49,60,12,23,13612,77097,155979.5,6424.75,46.39873843,65.57619154,89.03503694,49.39701389,14.1438528,6.453858396,10.86499731,80.80437593,71.35298592,1315,66.39761574,19.99887731,12632,26,4.95,41,50
"5","BR024-01215","R2","L1","C6",118,9,50.6,NA,NA,NA,NA,47,58,12,26,12995,62093,140874,5174.416667,45.53640046,62.98584685,108.0637877,48.53604167,12.7917626,5.732102175,9.37222326,75.4522489,71.0343727,1233,64.53609954,18.99969907,13248,28,4.73,40,550
"6","BR024-01216","R2","L2","C6",115,9,47.6,34,172,17,0.276744186,46,58,13,22,11967,63677,111210,4898.230769,44.59979167,69.17080145,87.02014355,48.59914352,12.06144764,6.149174036,9.337867442,74.72548301,74.29426519,1237,99.61394676,55.01415509,14656,29,5.12,39,47
"7","BR024-01217","R2","L5","C6",127,10,47.9,NA,NA,NA,NA,48,59,12,22,11150,61172,112448,5097.666667,45.77006944,66.81947854,94.04136078,49.7691088,13.01117607,5.976410196,8.947552083,80.8177458,80.97186731,1266,92.76962963,46.99956019,11133,21,5.35,41,50
"8","BR024-01218","R2","L7","C6",119,10,54.4,NA,NA,NA,NA,48,58,11,22,13319,62611,121441,5691.909091,44.88809028,67.60669773,99.27576602,47.88568287,14.0178419,6.774506917,10.83972694,77.71783341,72.85700132,1353,64.885625,19.99753472,11873,23,5.25,41,50
"9","BR024-02111","R1","L1","C5",113,9,50.7,NA,NA,NA,NA,53,67,15,25,3545,25880,41830,1725.333333,47.00733796,63.22203191,87,51.00738426,12.56049475,5.517079388,9.222851814,78.75543734,71.48005989,1199,80.00737269,33.00003472,10422,27,3.87,39,50
"10","BR024-02112","R1","L2","C5",112,7,50,NA,NA,NA,NA,49,68,20,31,7430,65250,93666,3262.5,46.11133102,39.72805551,77.99638906,49.1106713,19.76940451,5.743045465,9.449594329,74.35079568,68.89184629,1196,77.11100694,30.99967593,10920,30,3.69,39,50
