plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-01111,PH01,46.00694444,63.63859828,91.00315983,49.00694444,11.13003773,4.906297381,7.800820629,78.57248961,75.28054136,1107,90.00699074,44.0000463
BR024-01112,PH01,48.10287037,67.98879052,84.996065,52.10300926,13.39191348,5.601257578,9.868438868,87.92668309,76.37986211,1345,67.1030787,19.00020833
BR024-01113,PH01,44.27431713,65.64811204,95,47.27447917,13.97298371,5.897120513,10.116294,85.21107868,75.29931415,1337,100.2743056,55.99998843
BR024-01114,PH01,46.39873843,65.57619154,92.03195554,52.39732639,14.1438528,6.453858396,10.86499731,80.80437593,71.35298592,1315,66.39761574,19.99887731
BR024-01215,PH01,45.53640046,62.98584685,86,49.53604167,12.7917626,5.732102175,9.37222326,75.4522489,71.0343727,1233,64.53609954,18.99969907
BR024-01216,PH01,44.59979167,69.17080145,87.02014355,48.59914352,12.06144764,6.149174036,9.337867442,74.72548301,74.29426519,1237,99.61394676,55.01415509
BR024-01217,PH01,45.77006944,66.81947854,94.04136078,49.7691088,13.01117607,5.976410196,8.947552083,80.8177458,80.97186731,1266,92.76962963,46.99956019
BR024-01218,PH01,44.88809028,67.60669773,99.27576602,47.88568287,14.0178419,6.774506917,10.83972694,77.71783341,72.85700132,1353,64.885625,19.99753472
BR024-02111,PH02,47.00733796,63.22203191,88.00407426,53.00734954,12.56049475,5.517079388,9.222851814,78.75543734,71.48005989,1199,80.00737269,33.00003472
BR024-02112,PH02,46.11133102,39.72805551,78.99817134,51.11075231,19.76940451,5.743045465,9.449594329,74.35079568,68.89184629,1196,77.11100694,30.99967593
BR024-02113,PH02,45.26980324,67.15448724,85.98407702,51.26991898,12.92690981,5.691919143,9.156265553,85.82342576,79.262664,1249,67.26997685,22.00017361
BR024-02114,PH02,46.37304398,65.7388699,80.50689527,51.37246528,11.93205787,5.80433652,8.910262283,75.46082115,73.45462784,1166,80.39947917,34.02643519
BR024-02215,PH02,46.51091435,60.78333193,86.0079637,48.51077546,10.67562405,4.806992394,7.819338027,74.16279677,68.96363837,1031,68.51081019,21.99989583
BR024-02216,PH02,43.5984838,57.78478157,86.01991202,48.59804398,12.81306219,5.860820795,9.147345328,71.32106827,67.72456683,1106,92.59859954,49.00011574
BR024-02217,PH02,43.72287037,65.64587236,88.02241311,47.72265046,12.84772324,6.397053656,9.841159819,73.94028961,71.58709065,1226,81.72274306,37.99987269
BR024-02218,PH02,44.82006944,32.17951976,95.02639622,48.81894676,31.6661034,7.305465123,12.52860022,78.16066333,67.92458736,1420,80.81957176,35.99950231
