code;location;barcode;L;C5;juvenile colour;BBCH51;BBCH61
PH01;1;BR024-01111;L1;C5;G;38;46
PH01;1;BR024-01112;L2;C5;G;41;52
PH01;1;BR024-01113;L5;C5;G;38;46
PH01;1;BR024-0111X;L6;C5;G;39;49
PH01;1;BR024-01114;L7;C5;G;41;50
PH01;2;BR024-01215;L1;C6;G;40;550
PH01;2;BR024-01216;L2;C6;G;39;47
PH01;2;BR024-01217;L5;C6;G;41;50
PH01;2;BR024-0121Y;L6;C6;;46;53
PH01;2;BR024-01218;L7;C6;G;41;50
PH02;1;BR024-02111;L1;C5;G;39;50
PH02;1;BR024-02112;L2;C5;G;39;50
PH02;1;BR024-02113;L5;C5;G;39;49
PH02;1;BR024-02114;L7;C5;G;39;50
PH02;2;BR024-02215;L1;C6;G;39;49
PH02;2;BR024-02216;L2;C6;G;38;46
PH02;2;BR024-02217;L4;C6;G;38;48
PH02;2;BR024-02218;L6;C6;G;39;48
PH03;1;BR024-03111;L1;C5;G;39;50
PH03;1;BR024-03112;L3;C5;P;39;51
PH03;1;BR024-03113;L4;C5;G;40;53
PH03;1;BR024-03114;L7;C5;G;39;53
PH03;2;BR024-03215;L2;C6;G;41;54
PH03;2;BR024-03216;L3;C6;G;39;54
PH03;2;BR024-03217;L4;C6;G;37;45
PH03;2;BR024-03218;L5;C6;G;39;51
PH04;1;BR024-04111;L1;C5;G;72;
PH04;1;BR024-04112;L3;C5;G;70;
PH04;1;BR024-04113;L5;C5;G;;
PH04;1;BR024-04114;L5;C5;G;71;
PH04;1;BR024-0411X;L6;C5;G;;
PH04;2;BR024-04215;L2;C6;G;73;
PH04;2;BR024-04216;L2;C6;G;72;123
PH04;2;BR024-04217;L4;C6;G;71;
PH04;2;BR024-0421Y;L6;C6;;;
PH04;2;BR024-04218;L7;C6;G;74;
PH05;1;BR024-05111;L1;C5;G;67;
PH05;1;BR024-05112;L3;C5;G;68;
PH05;1;BR024-05113;L4;C5;G;72;
PH05;1;BR024-05114;L7;C5;G;72;
PH05;2;BR024-05215;L1;C6;G;72;
PH05;2;BR024-05216;L3;C6;G;70;
PH05;2;BR024-05217;L4;C6;G;70;
