barcode,code,code genotype long,line,compartment,ph,bn,pw,main,pnp,pb,wp
BR024-01111,PH01,PH01 B rapa 2x,L1,C5,104,9,50.6,29,182,18,0.278021978
BR024-01112,PH01,PH01 B rapa 2x,L2,C5,125,11,53.3,47,207,17,0.257487923
BR024-01113,PH01,PH01 B rapa 2x,L5,C5,124,9,48.6,36,181,18,0.268508287
BR024-01114,PH01,PH01 B rapa 2x,L7,C5,120,9,42.9,43,169,17,0.253846154
BR024-01215,PH01,PH01 B rapa 2x,L1,C6,118,9,50.6,,,,
BR024-01216,PH01,PH01 B rapa 2x,L2,C6,115,9,47.6,34,172,17,0.276744186
BR024-01217,PH01,PH01 B rapa 2x,L5,C6,127,10,47.9,,,,
BR024-01218,PH01,PH01 B rapa 2x,L7,C6,119,10,54.4,,,,
BR024-02111,PH02,PH02 B rapa 2x,L1,C5,113,9,50.7,,,,
BR024-02112,PH02,PH02 B rapa 2x,L2,C5,112,7,50,,,,
BR024-02113,PH02,PH02 B rapa 2x,L5,C5,116,11,52.7,4,192,16,0.274479167
BR024-02114,PH02,PH02 B rapa 2x,L7,C5,110,9,50,41,220,22,0.227272727
BR024-02215,PH02,PH02 B rapa 2x,L1,C6,120,10,49.2,,,,
BR024-02216,PH02,PH02 B rapa 2x,L2,C6,116,10,49.9,,,,
BR024-02217,PH02,PH02 B rapa 2x,L4,C6,117,9,52.7,41,225,23,0.234222222
BR024-02218,PH02,PH02 B rapa 2x,L6,C6,121,11,51.4,37,238,20,0.215966387
BR024-03111,PH03,PH03 B oleracea 2x,L1,C5,57,6,27.6,129,515,74,0.053592233
BR024-03112,PH03,PH03 B oleracea 2x,L3,C5,70,6,25.6,,,,
BR024-03113,PH03,PH03 B oleracea 2x,L4,C5,62,6,20.2,120,491,70,0.04114053
BR024-03114,PH03,PH03 B oleracea 2x,L7,C5,70,6,22.7,,,,
BR024-03215,PH03,PH03 B oleracea 2x,L2,C6,75,5,25.4,,,,
BR024-03216,PH03,PH03 B oleracea 2x,L3,C6,65,5,24.7,,427,71,0.057845433
BR024-03217,PH03,PH03 B oleracea 2x,L4,C6,70,5,26.8,,,,
BR024-03218,PH03,PH03 B oleracea 2x,L5,C6,67,7,27.4,98,604,76,0.045364238
BR024-06111,PH06,PH06 B oleracea 2x,L6,C5,94,3,37.9,59,302,76,0.125496689
BR024-06112,PH06,PH06 B oleracea 2x,L3,C5,67,5,35.2,,,,
BR024-06113,PH06,PH06 B oleracea 2x,L5,C5,84,5,36.2,13,254,42,0.142519685
BR024-06114,PH06,PH06 B oleracea 2x,L7,C5,65,4,32,,,,
BR024-06215,PH06,PH06 B oleracea 2x,L1,C6,75,4,34.7,,,,
BR024-06216,PH06,PH06 B oleracea 2x,L3,C6,91,4,32.9,37,223,45,0.147533632
BR024-06217,PH06,PH06 B oleracea 2x,L4,C6,86,4,32.5,34,222,44,0.146396396
BR024-06218,PH06,PH06 B oleracea 2x,L7,C6,62,4,35,,,,
BR024-07111,PH07,PH07 B carinata 4x,L1,C5,98,7,20.1,,,,
BR024-07112,PH07,PH07 B carinata 4x,L3,C5,100,8,32.1,,,,
BR024-07113,PH07,PH07 B carinata 4x,L5,C5,104,6,30.5,65,515,74,0.059223301
BR024-07114,PH07,PH07 B carinata 4x,L5,C5,115,8,31.4,40,511,57,0.061448141
BR024-07215,PH07,PH07 B carinata 4x,L1,C6,98,4,16.5,83,253,51,0.065217391
BR024-07216,PH07,PH07 B carinata 4x,L3,C6,86,8,19.3,,,,
BR024-07217,PH07,PH07 B carinata 4x,L5,C6,102,9,22.9,80,420,42,0.05452381
BR024-07218,PH07,PH07 B carinata 4x,L7,C6,106,9,27.6,,,,
BR024-08111,PH08,PH08 B carinata 4x,L1,C5,156,18,8.5,,,,
BR024-08112,PH08,pH08 B carinata 4x,L3,C5,155,16,16.4,131,286,17,0.057342657
BR024-08113,PH08,PH08 B carinata 4x,L4,C5,175,15,4.2,80,145,9,0.028965517
BR024-08114,PH08,PH08 B carinata 4x,L7,C5,155,17,4.4,,,,
BR024-08215,PH08,PH08 B carinata 4x,L1,C6,168,15,23.4,,,,
BR024-08216,PH08,PH08 B carinata 4x,L3,C6,145,17,29.8,55,514,29,0.057976654
BR024-08217,PH08,PH08 B carinata 4x,L5,C6,150,15,9.3,83,253,16,0.036758893
BR024-08218,PH08,PH08 B carinata 4x,L5,C6,167,15,2,,,,
BR024-09111,PH09,PH09 B juncea 4x,L1,C5,142,14,53.4,32,956,64,0.055857741
BR024-09112,PH09,PH09 B juncea 4x,L3,C5,156,4,56.2,,,,
BR024-09113,PH09,PH09 B juncea 4x,L4,C5,150,13,52.6,36,931,67,0.056498389
BR024-09114,PH09,PH09 B juncea 4x,L5,C5,153,16,52.7,43,984,58,0.053556911
BR024-09215,PH09,PH09 B juncea 4x,L2,C6,158,15,59.8,43,890,56,0.067191011
BR024-09216,PH09,PH09 B juncea 4x,L2,C6,145,16,50.4,52,1034,61,0.048742747
BR024-09217,PH09,PH09 B juncea 4x,L4,C6,140,11,53.6,,,,
BR024-09218,PH09,PH09 B juncea 4x,L7,C6,142,11,52.6,,,,
BR024-10111,PH10,PH10 B juncea 4x,L1,C5,170,15,41.1,,,,
BR024-10112,PH10,PH10 B juncea 4x,L2,C5,158,15,47.3,,,,
BR024-10113,PH10,PH10 B juncea 4x,L4,C5,164,15,43,49,1433,90,0.030006978
